Organism Name,Organism Groups,Strain,BioSample,BioProject,Assembly,Level,Size(Mb),GC%,Replicons,WGS,Scaffolds,CDS,Release Date,GenBank FTP,RefSeq FTP,Genes
"Lysiphlebus fabarum","Eukaryota;Animals;Insects","IL-07-64","SAMN13190904","PRJNA587428","GCA_011426435.1","Contig",140.706,23.8,,"WSYQ01",1698,0,"2020-03-18T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/011/426/435/GCA_011426435.1_ASM1142643v1",,0
"Ericerus pela","Eukaryota;Animals;Insects","colony RIRI-1","SAMN13135046","PRJNA579853","GCA_011428145.1","Scaffold",654.86,33.5,,"WOFM01",2396,0,"2020-03-18T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/011/428/145/GCA_011428145.1_ASM1142814v1",,0
"Clarias macrocephalus","Eukaryota;Animals;Fishes","CM_001","SAMN13972449","PRJNA604477","GCA_011419295.1","Scaffold",883.399,39.3,,"JAAGKR01",27833,0,"2020-03-18T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/011/419/295/GCA_011419295.1_DU_Cmac_1.0",,0
"Aphidius ervi","Eukaryota;Animals;Insects","SA-APP","SAMN13190903","PRJNA587428","GCA_011426455.1","Scaffold",138.952,23.7,,"WSYP01",5778,0,"2020-03-18T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/011/426/455/GCA_011426455.1_ASM1142645v1",,0
"Erysimum cheiranthoides","Eukaryota;Plants;Land Plants","","SAMN12686737","PRJNA563696","GCA_011420285.1"," Chromosome",177.181,36.2865,"chromosome 1:CM022176.1; chromosome 2:CM022177.1; chromosome 3:CM022178.1; chromosome 4:CM022179.1; chromosome 5:CM022180.1; chromosome 6:CM022181.1; chromosome 7:CM022182.1; chromosome 8:CM022183.1","VWOI01",223,0,"2020-03-18T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/011/420/285/GCA_011420285.1_BTI_Eche1.2",,0
"Mortierella sp. BCC40632","Eukaryota;Fungi;Other Fungi","BCC40632","SAMN12770266","PRJNA565861","GCA_011634665.1","Contig",49.964,47.1,,"WAEK01",65,0,"2020-03-23T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/011/634/665/GCA_011634665.1_ASM1163466v1",,0
"Anneissia japonica","Eukaryota;Animals;Other Animals","Jap-2015-1","SAMN12241982","PRJNA553656","GCA_011630105.1","Scaffold",589.628,33,,"VUNX01",76727,0,"2020-03-23T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/011/630/105/GCA_011630105.1_ASM1163010v1",,0
"Tetragonula mellipes","Eukaryota;Animals;Insects","M-2017-04","SAMN13106271","PRJNA579203","GCA_011634685.1","Contig",337.572,37.8,,"WINE01",133257,0,"2020-03-23T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/011/634/685/GCA_011634685.1_Tetragonula_mellipes1_1.1",,0
"Catotricha subobsoleta","Eukaryota;Animals;Insects","FBL1L1UB45","SAMN13041636","PRJNA577930","GCA_011634745.1","Scaffold",310.19,27.8,,"JAABKK01",76667,0,"2020-03-23T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/011/634/745/GCA_011634745.1_ASM1163474v1",,0
"Aurelia coerulea","Eukaryota;Animals;Other Animals","EDW9GTL7WV","SAMN10133844","PRJNA493278","GCA_011634815.1","Scaffold",669.417,40.9,,"JAABKL01",697779,0,"2020-03-23T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/011/634/815/GCA_011634815.1_ASM1163481v1",,0
"Gymnobelideus leadbeateri","Eukaryota;Animals;Mammals","B50252","SAMN13475009","PRJNA593327","GCA_011680675.1","Scaffold",3469.28,39.2,,"WOXC01",12502,0,"2020-03-23T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/011/680/675/GCA_011680675.1_LBP_v1",,0
"Tetramorium immigrans","Eukaryota;Animals;Insects","CASENT0742324","SAMN11458712","PRJNA533534","GCA_011636585.1","Scaffold",227.079,37.6,,"VBVO01",18306,0,"2020-03-23T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/011/636/585/GCA_011636585.1_Timm.v1.0",,0
"Tetramorium bicarinatum","Eukaryota;Animals;Insects","CASENT0742326","SAMN11458713","PRJNA533535","GCA_011636605.1","Scaffold",229.238,37.8,,"VBVP01",19788,0,"2020-03-23T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/011/636/605/GCA_011636605.1_Tbic.v1.0",,0
"Tetramorium simillimum","Eukaryota;Animals;Insects","CASENT0742323","SAMN11458714","PRJNA533536","GCA_011636635.1","Scaffold",232.156,38.3,,"VBVQ01",23892,0,"2020-03-23T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/011/636/635/GCA_011636635.1_Tsim.v1.0",,0
"Tetramorium parvispinum","Eukaryota;Animals;Insects","CASENT0742307","SAMN11458715","PRJNA533537","GCA_011638315.1","Scaffold",229.641,37.8,,"VBVR01",28196,0,"2020-03-23T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/011/638/315/GCA_011638315.1_Tpar.v1.0",,0
"Tetragonula mellipes","Eukaryota;Animals;Insects","M-2017-01","SAMN13107058","PRJNA579239","GCA_011634955.1","Contig",554.876,36.7,,"WINF01",453557,0,"2020-03-23T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/011/634/955/GCA_011634955.1_Tetragonula_mellipes2_1.1",,0
"Dactylonectria torresensis","Eukaryota;Fungi;Ascomycetes","BV-745","SAMN12781489","PRJNA566152","GCA_011426295.1","Contig",64.2113,50.2,,"VYKF01",2396,0,"2020-03-18T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/011/426/295/GCA_011426295.1_ASM1142629v1",,0
"Aphantopus hyperantus","Eukaryota;Animals;Insects","","SAMEA994723","PRJEB36755","GCA_902806615.1","Scaffold",362.693,37.9,,"CADCXF01",3149,0,"2020-02-14T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/902/806/615/GCA_902806615.1_iAphHyp1.1_alternate_haplotype",,0
"Bacillariophyta sp.","Eukaryota;Other;Other","CG_2015-02_45_7","SAMN13287263","PRJNA405969","GCA_010367175.1","Scaffold",21.0364,44.8,,"JAACPG01",3283,0,"2020-02-10T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/010/367/175/GCA_010367175.1_ASM1036717v1",,0
"Bos grunniens x Bos taurus","Eukaryota;Animals;Mammals","Esperanza","SAMN12153487","PRJNA551500","GCA_009493645.1"," Chromosome",2677.17,41.9327,"chromosome 1:CM018733.1; chromosome 2:CM018734.1; chromosome 3:CM018735.1; chromosome 4:CM018736.1; chromosome 5:CM018737.1; chromosome 6:CM018738.1; chromosome 7:CM018739.1; chromosome 8:CM018740.1; chromosome 9:CM018741.1; chromosome 10:CM018742.1; chromosome 11:CM018743.1; chromosome 12:CM018744.1; chromosome 13:CM018745.1; chromosome 14:CM018746.1; chromosome 15:CM018747.1; chromosome 16:CM018748.1; chromosome 17:CM018749.1; chromosome 18:CM018750.1; chromosome 19:CM018751.1; chromosome 20:CM018752.1; chromosome 21:CM018753.1; chromosome 22:CM018754.1; chromosome 23:CM018755.1; chromosome 24:CM018756.1; chromosome 25:CM018757.1; chromosome 26:CM018758.1; chromosome 27:CM018759.1; chromosome 28:CM018760.1; chromosome 29:CM018761.1; chromosome X:CM018762.1; mitochondrion MT:CM018763.1","VLPI01",485,0,"2019-11-01T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/493/645/GCA_009493645.1_ARS_UNL_BGru_maternal_1.0_p",,0
"Neurospora sp. CHS-2018a","Eukaryota;Fungi;Ascomycetes","FGSC 26577","SAMN09882691","PRJNA487060","GCA_009802375.1","Scaffold",53.0965,45.6,,"RAKM01",335,0,"2019-12-27T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/802/375/GCA_009802375.1_ASM980237v1",,0
"Cryptococcus floricola","Eukaryota;Fungi;Basidiomycetes","DSM 27421","SAMN06849074","PRJNA384819","GCA_008355005.1","Scaffold",20.1377,53.5,,"NIDF01",573,8190,"2019-08-27T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/355/005/GCA_008355005.1_Tsuc_wing_DSM_27421_V6",,8364
"Neofusicoccum kwambonambiense","Eukaryota;Fungi;Ascomycetes","CBS 123639","SAMN10319576","PRJNA497969","GCA_009829845.1","Scaffold",44.1691,56,,"RHKE01",1560,0,"2020-01-03T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/829/845/GCA_009829845.1_ASM982984v1",,0
"Neofusicoccum ribis","Eukaryota;Fungi;Ascomycetes","CBS 115475","SAMN10319571","PRJNA497969","GCA_009829445.1","Scaffold",43.1735,55.8,,"RHJZ01",1990,0,"2020-01-03T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/829/445/GCA_009829445.1_ASM982944v1",,0
"Neofusicoccum cordaticola","Eukaryota;Fungi;Ascomycetes","CBS 123634","SAMN10319574","PRJNA497969","GCA_009829355.1","Scaffold",45.7134,55,,"RHKC01",1912,0,"2020-01-03T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/829/355/GCA_009829355.1_ASM982935v1",,0
"Catharus ustulatus","Eukaryota;Animals;Birds","bCatUst1","SAMN12618602","PRJNA561934","GCA_009819505.1","Scaffold",1128.66,42.9,,"WNMR01",3601,0,"2019-12-23T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/819/505/GCA_009819505.1_bCatUst1.alt",,0
"Taiwanofungus camphoratus","Eukaryota;Fungi;Basidiomycetes","PZ","SAMN02947108","PRJNA257111","GCA_003413585.1","Scaffold",30.3656,50.5,,"JPYJ01",379,0,"2018-08-20T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/413/585/GCA_003413585.1_ASM341358v1",,0
"Chiroxiphia lanceolata","Eukaryota;Animals;Birds","bChiLan1","SAMN12620979","PRJNA561944","GCA_009829205.1","Contig",1054.62,42.2,,"WNMD01",4269,0,"2020-01-03T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/829/205/GCA_009829205.1_bChiLan1.alt",,0
"Neurospora cerealis","Eukaryota;Fungi;Ascomycetes","FGSC 26639","SAMN09882613","PRJNA487060","GCA_009801525.1","Scaffold",39.2037,51.6,,"RAIZ01",257,0,"2019-12-27T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/801/525/GCA_009801525.1_ASM980152v1",,0
"Neurospora sp. CHS-2018b","Eukaryota;Fungi;Ascomycetes","FGSC 8238","SAMN09882599","PRJNA487060","GCA_009806255.1","Scaffold",49.142,46.9,,"RAPD01",2162,0,"2019-12-27T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/806/255/GCA_009806255.1_ASM980625v1",,0
"Neurospora tetraspora","Eukaryota;Fungi;Ascomycetes","FGSC 26673","SAMN09882663","PRJNA487060","GCA_009803015.1","Scaffold",43.4519,48.7,,"RALL01",308,0,"2019-12-27T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/803/015/GCA_009803015.1_ASM980301v1",,0
"Neurospora sp. CHS-2018c","Eukaryota;Fungi;Ascomycetes","LNF10-1","SAMN09882614","PRJNA487060","GCA_009801505.1","Scaffold",58.705,44.3,,"RAIY01",514,0,"2019-12-27T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/801/505/GCA_009801505.1_ASM980150v1",,0
"Bucorvus abyssinicus","Eukaryota;Animals;Birds","bBucAby1","SAMN12614799","PRJNA561886","GCA_009769595.1","Contig",1024.14,43.5,,"WNMH01",3527,0,"2019-12-19T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/769/595/GCA_009769595.1_bBucAby1.alt",,0
"Geothlypis trichas","Eukaryota;Animals;Birds","bGeoTri1","SAMN12631222","PRJNA589704","GCA_009764545.1","Scaffold",976.433,41.8,,"WSPK01",4976,0,"2019-12-18T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/764/545/GCA_009764545.1_bGeoTri1.alt",,0
"Sciurus carolinensis","Eukaryota;Animals;Mammals","","SAMEA994726","PRJEB35385","GCA_902685475.1","Scaffold",2057.95,40.2,,"CACRXG01",9508,0,"2019-11-22T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/902/685/475/GCA_902685475.1_mSciCar1.1_alternate_haplotype",,0
"Cyclopterus lumpus","Eukaryota;Animals;Fishes","fCycLum1","SAMN12629502","PRJNA562004","GCA_009769515.1","Contig",480.967,42.8,,"WNND01",1866,0,"2019-12-19T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/769/515/GCA_009769515.1_fCycLum1.alt",,0
"Notolabrus celidotus","Eukaryota;Animals;Fishes","fNotCel1","SAMN12623201","PRJNA561957","GCA_009762545.1","Contig",770.554,40.8,,"WOTM01",3286,0,"2019-12-17T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/762/545/GCA_009762545.1_fNotCel1.alt",,0
"Fusarium fasciculatum","Eukaryota;Fungi;Ascomycetes","NRRL 13405","SAMN08631343","PRJNA436969","GCA_003012295.1","Scaffold",39.6079,48.5,,"PXXK01",1073,13046,"2018-03-20T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/012/295/GCA_003012295.1_FIESC_12_NRRL13405_FIE12Z_contigs",,13046
"Neostethus bicornis","Eukaryota;Animals;Fishes","","SAMEA104240207","PRJEB35382","GCA_902685365.1","Scaffold",747.174,40.7,,"CACRXF01",1483,0,"2019-11-22T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/902/685/365/GCA_902685365.1_fNeoBic2.1_alternate_haplotype",,0
"Pecten maximus","Eukaryota;Animals;Other Animals","","SAMEA994736","PRJEB35329","GCA_902652895.1","Contig",0.456686,37.1,,"CACRVO01",4,0,"2019-11-22T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/902/652/895/GCA_902652895.1_xPecMax1.1_alternate_haplotype",,0
"Saccharomyces cerevisiae x Saccharomyces eubayanus x Saccharomyces uvarum","Eukaryota;Fungi;Ascomycetes","yHQL574","SAMN10973904","PRJNA522928","GCA_009666835.1","Contig",0.071719,19.5,,"VZZC01",2,0,"2019-11-18T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/666/835/GCA_009666835.1_ASM966683v1",,0
"Saccharomyces cerevisiae x Saccharomyces eubayanus x Saccharomyces kudriavzevii x Saccharomyces uvarum","Eukaryota;Fungi;Ascomycetes","yHQL557","SAMN10973900","PRJNA522928","GCA_009666495.1","Scaffold",23.2677,39.1,,"VZWW01",1121,0,"2019-11-18T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/666/495/GCA_009666495.1_ASM966649v1",,0
"Saccharomyces cerevisiae x Saccharomyces eubayanus","Eukaryota;Fungi;Ascomycetes","yHQL630","SAMN10973809","PRJNA522928","GCA_009665555.1","Scaffold",23.067,39,,"VZVB01",2282,0,"2019-11-18T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/665/555/GCA_009665555.1_ASM966555v1",,0
"Saccharomyces eubayanus x Saccharomyces uvarum","Eukaryota;Fungi;Ascomycetes","yHCT110","SAMN10973915","PRJNA522928","GCA_009667275.1","Scaffold",11.7627,39.9,,"VZXZ01",314,0,"2019-11-18T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/667/275/GCA_009667275.1_ASM966727v1",,0
"Corvus moneduloides","Eukaryota;Animals;Birds","bCorMon1","SAMN12368441","PRJNA560982","GCA_009651025.1","Contig",905.198,42.7,,"WHPP01",894,0,"2019-11-12T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/651/025/GCA_009651025.1_bCorMon1.alt",,0
"Fusarium austroamericanum","Eukaryota;Fungi;Ascomycetes","3FSP","SAMN11613498","PRJNA542165","GCA_009617505.1","Scaffold",37.3106,48,,"VSSV01",619,0,"2019-11-06T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/617/505/GCA_009617505.1_Faus151",,0
"Aspergillus pseudonomius","Eukaryota;Fungi;Ascomycetes","IBT 12657","SAMN05446748","PRJNA333904","GCA_009176395.1","Scaffold",36.7132,48.6,,"SWDY01",290,0,"2019-10-18T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/176/395/GCA_009176395.1_Aspnom1",,0
"Tilletia laevis","Eukaryota;Fungi;Basidiomycetes","DAOMC 238040","SAMN07327863","PRJNA393335","GCA_009428285.1","Scaffold",28.2798,56.6,,"RDSG01",4501,9651,"2019-10-30T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/428/285/GCA_009428285.1_AAFC_TLDAOMC238040_1",,9651
"Aspergillus alliaceus","Eukaryota;Fungi;Ascomycetes","IBT 14317","SAMN05446902","PRJNA333895","GCA_009193605.1","Scaffold",40.14,47.2,,"STFQ01",473,0,"2019-10-18T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/193/605/GCA_009193605.1_Aspalbe1",,0
"Thalassophryne amazonica","Eukaryota;Animals;Fishes","","SAMEA104129913","PRJEB34605","GCA_902500245.1","Scaffold",1767.81,42,,"CABVOX01",19579,0,"2019-09-30T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/902/500/245/GCA_902500245.1_fThaAma1.1_alternate_haplotype",,0
"Alternaria gansuensis","Eukaryota;Fungi;Ascomycetes","LYZ1412","SAMN12854558","PRJNA574205","GCA_008973795.1","Contig",75.04,37.2,,"WBTE01",12226,0,"2019-10-11T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/973/795/GCA_008973795.1_ASM897379v1",,0
"Aspergillus tamarii","Eukaryota;Fungi;Ascomycetes","UdeA_Afl2","SAMN11259648","PRJNA529233","GCA_008973515.1","Scaffold",37.7545,47.6,,"VYTW01",592,0,"2019-10-11T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/973/515/GCA_008973515.1_ASM897351v1",,0
"Phocoena sinus","Eukaryota;Animals;Mammals","mPhoSin1","SAMN12325353","PRJNA557832","GCA_008692045.1","Scaffold",995.427,41.5,,"VOSV01",9469,0,"2019-09-24T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/692/045/GCA_008692045.1_mPhoSin1.alt",,0
"Asterias rubens","Eukaryota;Animals;Other Animals","","SAMEA994741","PRJEB33973","GCA_902459445.1","Scaffold",390.768,38.8,,"CABPRO01",3969,0,"2019-08-14T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/902/459/445/GCA_902459445.1_eAstRub1.2_alternate_haplotype",,0
"Alca torda","Eukaryota;Animals;Birds","2006_11_07_Graehlm_vinge_78","SAMN12292087","PRJNA554521","GCA_008658355.1","Contig",1220.38,42.6,,"VMEC01",3309,0,"2019-09-23T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/658/355/GCA_008658355.1_bAlcTor1_alternate",,0
"Thermothielavioides terrestris","Eukaryota;Fungi;Ascomycetes","","SAMEA104726064","PRJEB25201","GCA_900343105.1","Contig",36.5797,54.8,,"OUUZ01",19,10126,"2019-01-10T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/343/105/GCA_900343105.1_Thte_LPH172",,10126
"Colletotrichum siamense","Eukaryota;Fungi;Ascomycetes","ICMP 18578","SAMN10390762","PRJNA504379","GCA_008520285.1","Scaffold",55.9616,52.7,,"RJJI01",235,0,"2019-09-18T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/520/285/GCA_008520285.1_ASM852028v1",,0
"Podospora anserina","Eukaryota;Fungi;Ascomycetes","S","SAMN09270757","PRJNA473312","GCA_005222925.1","Contig",34.4268,52,,"QHKU01",831,0,"2019-05-07T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/005/222/925/GCA_005222925.1_ASM522292v1",,0
"Larix cajanderi","Eukaryota;Plants;Land Plants","EH94","SAMN11190900","PRJNA528429","GCA_007814315.1","Contig",0.773239,41.1,,"VFAK01",2078,0,"2019-07-15T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/007/814/315/GCA_007814315.1_AWI_Lcaj_EH94_1.0",,0
"Aristotelia chilensis","Eukaryota;Plants;Land Plants","Maqui1","SAMN11613284","PRJNA542158","GCA_008126665.1","Scaffold",0.312713,35.3,,"VDCA01",93,0,"2019-08-22T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/126/665/GCA_008126665.1_ASM812666v1",,0
"Metschnikowia amazonensis","Eukaryota;Fungi;Ascomycetes","UFMG-CM-6307","SAMN11605461","PRJNA411829","GCA_008065205.1","Scaffold",19.2981,40.3,,"VATD01",2479,0,"2019-08-22T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/065/205/GCA_008065205.1_ASM806520v1",,0
"Metschnikowia caudata","Eukaryota;Fungi;Ascomycetes","EBD-CdVSA08-1","SAMN11605458","PRJNA411829","GCA_008065185.1","Scaffold",10.9143,56,,"VATG01",71,0,"2019-08-22T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/065/185/GCA_008065185.1_ASM806518v1",,0
"Metschnikowia agaves","Eukaryota;Fungi;Ascomycetes","UWOPS 92-207.1","SAMN11605456","PRJNA411829","GCA_008065245.1","Scaffold",11.1497,44.5,,"VATI01",227,0,"2019-08-22T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/065/245/GCA_008065245.1_ASM806524v1",,0
"Poteriospumella lacustris","Eukaryota;Protists;Other Protists","JCB07","SAMEA3936178","PRJNA504602","GCA_008000325.1","Scaffold",49.4298,26.3,,"SMOH01",10458,0,"2019-08-15T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/000/325/GCA_008000325.1_ASM800032v1",,0
"Arthrobotrys flagrans","Eukaryota;Fungi;Ascomycetes","CIM1","SAMN05504105","PRJNA336098","GCA_009651115.1","Contig",36.318,45.2,,"MDKD01",61,0,"2019-11-12T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/651/115/GCA_009651115.1_ASM965111v1",,0
"Panagrolaimus sp. JU765","Eukaryota;Animals;Roundworms","JU765","SAMEA5634084","PRJEB32708","GCA_901765185.1","Scaffold",64.2623,35.4,,"CABFKL01",13268,0,"2019-07-30T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/901/765/185/GCA_901765185.1_JU765_v2",,0
"Turritis glabra","Eukaryota;Plants;Land Plants","","SAMEA4640860","PRJEB26555","GCA_900406545.1","Scaffold",157.63,35.7,,"OVBM01",6441,0,"2019-06-13T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/406/545/GCA_900406545.1_ASM90040654v1",,0
"Pseudoturritis turrita","Eukaryota;Plants;Land Plants","","SAMEA4640858","PRJEB26555","GCA_900406515.1","Scaffold",263.513,36.6,,"OVBK01",25008,0,"2019-06-13T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/406/515/GCA_900406515.1_ASM90040651v1",,0
"Elsinoe fawcettii","Eukaryota;Fungi;Ascomycetes","SM16-1","SAMN11479289","PRJNA534191","GCA_007556535.1","Scaffold",26.6559,52.8,,"VAAB01",1266,0,"2019-07-26T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/007/556/535/GCA_007556535.1_ASM755653v1",,0
"Gopherus evgoodei","Eukaryota;Animals;Reptiles","","SAMN03496275","PRJNA489104","GCA_007399395.1","Contig",1961.13,44.3,,"VHHO01",8736,0,"2019-07-24T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/007/399/395/GCA_007399395.1_rGopEvg1_v1.alt",,0
"Archocentrus centrarchus","Eukaryota;Animals;Fishes","MPI-CPG fArcCen1","SAMN09948522","PRJNA489130","GCA_007364235.1","Scaffold",1034.01,41.2,,"STFW01",9292,0,"2019-07-24T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/007/364/235/GCA_007364235.1_fArcCen1_v1.h",,0
"Cordyceps javanica","Eukaryota;Fungi;Ascomycetes","IJ1G","SAMN11244955","PRJNA528795","GCA_006981985.1","Scaffold",34.9332,53.1,,"SPUK01",102,11441,"2019-07-15T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/006/981/985/GCA_006981985.1_ASM698198v1",,11546
"Fusarium coffeatum","Eukaryota;Fungi;Ascomycetes","NRRL 66322 (ITEM 1616)","SAMN08636322","PRJNA436969","GCA_004367465.1","Scaffold",37.035,48.6,,"QGDX01",654,0,"2019-03-22T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/367/465/GCA_004367465.1_FIESC_28_NRRL_66322_ITEM_1616",,0
"Sphaeramia orbicularis","Eukaryota;Animals;Fishes","","SAMEA4966328","PRJEB33176","GCA_902148825.1","Scaffold",1135.44,37.7,,"CABFVO01",6896,0,"2019-06-28T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/902/148/825/GCA_902148825.1_fSphaOr1.1_alternate_haplotype",,0
"Dermochelys coriacea","Eukaryota;Animals;Reptiles","rDerCor1","SAMN12629498","PRJNA561994","GCA_009762595.1","Contig",1443.62,43.5,,"WSPM01",8982,0,"2019-12-18T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/762/595/GCA_009762595.1_rDerCor1.alt",,0
"Myripristis murdjan","Eukaryota;Animals;Fishes","","SAMEA4872133","PRJEB33187","GCA_902148815.1","Scaffold",819.085,41.8,,"CABFVP01",2193,0,"2019-06-28T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/902/148/815/GCA_902148815.1_fMyrMur1.1_alternate_haplotype",,0
"Fusarium humuli","Eukaryota;Fungi;Ascomycetes","NRRL 66335 (ITEM 10395)","SAMN08636325","PRJNA436969","GCA_004367055.1","Scaffold",39.0324,48.6,,"QHHG01",602,0,"2019-03-22T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/367/055/GCA_004367055.1_FIESC_33_NRRL_66335_ITEM_10395",,0
"Streptopelia turtur","Eukaryota;Animals;Birds","","SAMEA994735","PRJEB32725","GCA_901699165.1","Contig",1035.21,41.7,,"CABFKB01",3333,0,"2019-05-28T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/901/699/165/GCA_901699165.1_bStrTur1.1_alternate_haplotype",,0
